epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,105.643,1.0206,1.05723,0.99619,0.49618,0.64917,0.60828,0.36762,1.33251,1.43347,1.24154,0.000306912,0.000306912,0.000306912
42,108.011,1.08951,1.14466,1.05163,0.49618,0.64917,0.60828,0.36762,1.33251,1.43347,1.24154,0.00030416,0.00030416,0.00030416
43,110.37,1.07839,1.06003,1.03346,0.49618,0.64917,0.60828,0.36762,1.33251,1.43347,1.24154,0.000301408,0.000301408,0.000301408
44,112.76,1.08111,1.01875,1.02676,0.61202,0.5328,0.62189,0.37159,1.35219,1.42422,1.28077,0.000298655,0.000298655,0.000298655
45,115.143,1.04753,0.90426,1.05225,0.61202,0.5328,0.62189,0.37159,1.35219,1.42422,1.28077,0.000295903,0.000295903,0.000295903
46,117.484,1.0094,0.95946,1.01882,0.61202,0.5328,0.62189,0.37159,1.35219,1.42422,1.28077,0.000293151,0.000293151,0.000293151
47,119.882,1.03289,0.91049,0.99769,0.50118,0.70268,0.64572,0.3723,1.38331,1.345,1.30541,0.000290399,0.000290399,0.000290399
48,122.226,1.06429,0.97742,1.07146,0.50118,0.70268,0.64572,0.3723,1.38331,1.345,1.30541,0.000287647,0.000287647,0.000287647
49,124.645,1.04985,0.97284,1.04503,0.54641,0.67124,0.65656,0.37885,1.38055,1.33669,1.29389,0.000284894,0.000284894,0.000284894
50,126.986,0.98482,0.82477,0.99629,0.54641,0.67124,0.65656,0.37885,1.38055,1.33669,1.29389,0.000282142,0.000282142,0.000282142
51,129.347,0.97656,0.84968,1.0283,0.54641,0.67124,0.65656,0.37885,1.38055,1.33669,1.29389,0.00027939,0.00027939,0.00027939
52,131.696,1.03362,0.90882,1.03744,0.56661,0.64346,0.64593,0.37638,1.37475,1.50006,1.29842,0.000276638,0.000276638,0.000276638
53,133.917,1.05595,0.82885,1.03612,0.56661,0.64346,0.64593,0.37638,1.37475,1.50006,1.29842,0.000273886,0.000273886,0.000273886
54,136.138,1.06222,0.87405,1.02729,0.56661,0.64346,0.64593,0.37638,1.37475,1.50006,1.29842,0.000271133,0.000271133,0.000271133
55,139.011,1.01096,0.82845,0.99058,0.53663,0.72206,0.64668,0.36791,1.43622,1.45745,1.3617,0.000268381,0.000268381,0.000268381
56,141.988,1.01212,0.8128,0.99114,0.53663,0.72206,0.64668,0.36791,1.43622,1.45745,1.3617,0.000265629,0.000265629,0.000265629
57,145.019,0.94793,0.76864,1.00533,0.57658,0.62783,0.69069,0.42624,1.40148,1.33151,1.32616,0.000262877,0.000262877,0.000262877
58,148.877,0.94253,0.81149,0.99872,0.57658,0.62783,0.69069,0.42624,1.40148,1.33151,1.32616,0.000260125,0.000260125,0.000260125
59,152.794,0.94037,0.7412,1.01979,0.57658,0.62783,0.69069,0.42624,1.40148,1.33151,1.32616,0.000257372,0.000257372,0.000257372
60,156.781,0.95849,0.71879,1.00573,0.60155,0.63522,0.70313,0.44722,1.33726,1.17811,1.26729,0.00025462,0.00025462,0.00025462
61,159.841,0.96451,0.69832,0.97844,0.60155,0.63522,0.70313,0.44722,1.33726,1.17811,1.26729,0.000251868,0.000251868,0.000251868
62,164.388,0.95083,0.7098,0.99452,0.60155,0.63522,0.70313,0.44722,1.33726,1.17811,1.26729,0.000249116,0.000249116,0.000249116
63,168.736,0.93369,0.69639,0.9779,0.64847,0.6152,0.71066,0.44791,1.33593,1.1434,1.28369,0.000246364,0.000246364,0.000246364
64,172.721,0.89271,0.68447,1.0221,0.64847,0.6152,0.71066,0.44791,1.33593,1.1434,1.28369,0.000243611,0.000243611,0.000243611
